Uniprot_arabadopsis	Uniprot_cerevisiae	AlphaFold_arabadopsis	AlphaFold_cerevisiae	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
O49653	P36132	AF-O49653-F1-model_v3	AF-P36132-F1-model_v3	2.5e-142	406.8	0.00e+00	922.99	1.098E-48	2026	platinum
O64530	Q08686	AF-O64530-F1-model_v3	AF-Q08686-F1-model_v3	1.8e-47	161.8	0.00e+00	636.63	1.152E-27	1079	platinum
O64629	P38991	AF-O64629-F1-model_v3	AF-P38991-F1-model_v3	4.8e-95	283.1	NA	NA	2.274E-35	1519	gold
O64649	P30620	AF-O64649-F1-model_v3	AF-P30620-F1-model_v3	2.0e-43	164.9	8.26e-04	868.70	8.498E-31	1268	platinum
O64765	P43123	AF-O64765-F1-model_v3	AF-P43123-F1-model_v3	2.7e-104	318.5	0.00e+00	1134.11	1.772E-51	2117	platinum
O64862	P53088	AF-O64862-F1-model_v3	AF-P53088-F1-model_v3	4.6e-139	397.5	0.00e+00	853.81	2.969E-43	1801	platinum
O64885	Q06338	AF-O64885-F1-model_v3	AF-Q06338-F1-model_v3	3.5e-11	60.8	1.01e-07	439.09	NA	NA	gold
O64886	P21592	AF-O64886-F1-model_v3	AF-P21592-F1-model_v3	2.6e-41	150.6	1.24e-11	816.77	1.755E-18	1066	platinum
O65041	Q99344	AF-O65041-F1-model_v3	AF-Q99344-F1-model_v3	2.4e-66	213.0	0.00e+00	772.52	1.804E-32	1331	platinum
O65251	P26793	AF-O65251-F1-model_v3	AF-P26793-F1-model_v3	8.4e-120	350.5	0.00e+00	965.73	2.614E-42	1880	platinum
O65396	P48015	AF-O65396-F1-model_v3	AF-P48015-F1-model_v3	1.3e-91	280.0	0.00e+00	1011.88	1.711E-50	2055	platinum
O65607	P25336	AF-O65607-F1-model_v3	AF-P25336-F1-model_v3	3.2e-92	315.8	NA	NA	1.963E-66	3377	gold
O78310	P00445	AF-O78310-F1-model_v3	AF-P00445-F1-model_v3	1.9e-49	156.8	0.00e+00	426.98	1.742E-20	923	platinum
O80396	P06784	AF-O80396-F1-model_v3	AF-P06784-F1-model_v3	9.9e-51	179.5	NA	NA	NA	NA	silver
O80438	Q03503	AF-O80438-F1-model_v3	AF-Q03503-F1-model_v3	1.7e-40	133.7	0.00e+00	410.79	1.434E-19	772	platinum
O80452	P15274	AF-O80452-F1-model_v3	AF-P15274-F1-model_v3	5.8e-221	641.7	1.55e-15	1727.93	1.338E-70	3440	platinum
O80505	P40351	AF-O80505-F1-model_v3	AF-P40351-F1-model_v3	2.0e-95	298.9	0.00e+00	1208.28	1.003E-27	1662	platinum
O80507	P38930	AF-O80507-F1-model_v3	AF-P38930-F1-model_v3	1.9e-64	201.1	5.55e-16	601.66	1.886E-25	1065	platinum
O80653	P28004	AF-O80653-F1-model_v3	AF-P28004-F1-model_v3	2.0e-16	79.3	2.30e-05	552.86	1.679E-10	423	platinum
O80757	P22470	AF-O80757-F1-model_v3	AF-P22470-F1-model_v3	3.1e-07	49.7	2.09e-01	241.92	NA	NA	gold
O80786	P29496	AF-O80786-F1-model_v3	AF-P29496-F1-model_v3	6.5e-200	582.4	0.00e+00	1837.09	5.577E-83	3686	platinum
O80840	P07283	AF-O80840-F1-model_v3	AF-P07283-F1-model_v3	3.8e-97	282.7	0.00e+00	698.29	1.426E-37	1461	platinum
O80866	Q12451	AF-O80866-F1-model_v3	AF-Q12451-F1-model_v3	1.1e-77	270.8	NA	NA	NA	NA	silver
O80925	P35197	AF-O80925-F1-model_v3	AF-P35197-F1-model_v3	3.1e-34	129.4	3.39e-06	597.43	6.327E-18	763	platinum
O80983	P32795	AF-O80983-F1-model_v3	AF-P32795-F1-model_v3	5.9e-179	527.3	3.33e-16	1632.61	4.648E-63	2965	platinum
O80996	P38748	AF-O80996-F1-model_v3	AF-P38748-F1-model_v3	5.3e-63	213.0	1.05e-10	978.73	7.036E-30	1227	platinum
O81047	P34243	AF-O81047-F1-model_v3	AF-P34243-F1-model_v3	3.9e-105	331.6	0.00e+00	1493.96	2.084E-62	2728	platinum
O81062	P34248	AF-O81062-F1-model_v3	AF-P34248-F1-model_v3	1.2e-28	114.4	1.12e-08	706.73	5.341E-13	720	platinum
O81146	P21243	AF-O81146-F1-model_v3	AF-P21243-F1-model_v3	1.5e-81	243.0	0.00e+00	650.37	2.446E-32	1318	platinum
O81148	P23638	AF-O81148-F1-model_v3	AF-P23638-F1-model_v3	1.1e-100	292.0	0.00e+00	700.39	1.112E-39	1594	platinum
O81235	P00447	AF-O81235-F1-model_v3	AF-P00447-F1-model_v3	3.0e-65	200.3	0.00e+00	616.82	7.488E-25	1118	platinum
O81325	P25355	AF-O81325-F1-model_v3	AF-P25355-F1-model_v3	7.5e-15	74.7	6.42e-09	766.76	2.536E-11	690	platinum
O81716	P34221	AF-O81716-F1-model_v3	AF-P34221-F1-model_v3	2.0e-64	209.9	NA	NA	2.315E-35	1481	gold
O81769	P32469	AF-O81769-F1-model_v3	AF-P32469-F1-model_v3	2.5e-104	303.9	0.00e+00	750.72	5.512E-41	1574	platinum
O82244	P38179	AF-O82244-F1-model_v3	AF-P38179-F1-model_v3	1.2e-64	213.0	0.00e+00	1026.32	3.234E-26	1457	platinum
O82346	Q05498	AF-O82346-F1-model_v3	AF-Q05498-F1-model_v3	5.4e-81	237.3	0.00e+00	499.58	1.439E-27	1029	platinum
O82462	P46655	AF-O82462-F1-model_v3	AF-P46655-F1-model_v3	2.4e-205	593.6	0.00e+00	1730.23	1.619E-85	3609	platinum
O82486	P41833	AF-O82486-F1-model_v3	AF-P41833-F1-model_v3	2.1e-82	270.8	2.02e-08	864.46	1.263E-38	1596	platinum
O82491	P32558	AF-O82491-F1-model_v3	AF-P32558-F1-model_v3	1.3e-144	458.4	0.00e+00	2234.78	2.230E-89	4151	platinum
O82567	P17898	AF-O82567-F1-model_v3	AF-P17898-F1-model_v3	3.8e-53	179.5	NA	NA	NA	NA	silver
O82656	P25044	AF-O82656-F1-model_v3	AF-P25044-F1-model_v3	3.6e-31	118.2	4.20e-13	592.80	1.041E-19	879	platinum
O82662	P53312	AF-O82662-F1-model_v3	AF-P53312-F1-model_v3	2.9e-123	362.5	0.00e+00	1136.52	4.458E-56	2279	platinum
O82782	P40545	AF-O82782-F1-model_v3	AF-P40545-F1-model_v3	1.8e-65	204.5	0.00e+00	666.47	1.105E-32	1267	platinum
P0DKI1	Q04487	AF-P0DKI1-F1-model_v3	AF-Q04487-F1-model_v3	5.6e-05	40.4	NA	NA	NA	NA	silver
P14671	P00931	AF-P14671-F1-model_v3	AF-P00931-F1-model_v3	5.8e-156	457.6	0.00e+00	1122.38	2.743E-54	2272	platinum
P17094	P14126	AF-P17094-F1-model_v3	AF-P14126-F1-model_v3	3.8e-180	504.2	0.00e+00	1108.78	3.147E-60	2611	platinum
P17597	P07342	AF-P17597-F1-model_v3	AF-P07342-F1-model_v3	1.7e-148	445.3	0.00e+00	1543.10	3.979E-65	2730	platinum
P18616	P04050	AF-P18616-F1-model_v3	AF-P04050-F1-model_v3	0.0e+00	1558.1	0.00e+00	4279.86	0.000E+00	8649	platinum
P24100	P00546	AF-P24100-F1-model_v3	AF-P00546-F1-model_v3	1.8e-132	375.9	0.00e+00	800.48	1.306E-40	1791	platinum
P28297	P28240	AF-P28297-F1-model_v3	AF-P28240-F1-model_v3	1.0e-196	560.5	0.00e+00	1569.74	7.405E-67	3140	platinum
P28769	P12612	AF-P28769-F1-model_v3	AF-P12612-F1-model_v3	9.7e-232	648.3	0.00e+00	1553.30	1.173E-69	3433	platinum
P30182	P06786	AF-P30182-F1-model_v3	AF-P06786-F1-model_v3	0.0e+00	1080.5	0.00e+00	3293.77	0.000E+00	6397	platinum
P30186	P40303	AF-P30186-F1-model_v3	AF-P40303-F1-model_v3	1.8e-96	281.2	0.00e+00	664.83	1.295E-36	1449	platinum
P31265	P35691	AF-P31265-F1-model_v3	AF-P35691-F1-model_v3	1.9e-34	117.1	0.00e+00	398.28	1.047E-16	719	platinum
P34788	P0CX56	AF-P34788-F1-model_v3	AF-P0CX56-F1-model_v3	6.8e-68	200.7	0.00e+00	407.05	1.828E-22	857	platinum
P34790	P14832	AF-P34790-F1-model_v3	AF-P14832-F1-model_v3	1.4e-78	229.2	NA	NA	4.763E-32	1194	gold
P34795	P12709	AF-P34795-F1-model_v3	AF-P12709-F1-model_v3	8.4e-154	450.3	0.00e+00	1463.27	2.178E-57	2673	platinum
P35131	P15731	AF-P35131-F1-model_v3	AF-P15731-F1-model_v3	1.8e-92	262.7	NA	NA	NA	NA	silver
P36428	P40825	AF-P36428-F1-model_v3	AF-P40825-F1-model_v3	5.7e-313	889.4	0.00e+00	2586.66	0.000E+00	5387	platinum
P38025	P27616	AF-P38025-F1-model_v3	AF-P27616-F1-model_v3	2.9e-39	141.0	0.00e+00	629.41	6.250E-25	1079	platinum
P38420	P08518	AF-P38420-F1-model_v3	AF-P08518-F1-model_v3	0.0e+00	1456.8	0.00e+00	3237.80	0.000E+00	7844	platinum
P38421	P34087	AF-P38421-F1-model_v3	AF-P34087-F1-model_v3	1.8e-43	140.6	0.00e+00	458.06	9.417E-20	923	platinum
P42339	P22543	AF-P42339-F1-model_v3	AF-P22543-F1-model_v3	1.8e-156	476.9	0.00e+00	1892.79	8.103E-70	3494	platinum
P42742	P23724	AF-P42742-F1-model_v3	AF-P23724-F1-model_v3	7.5e-55	173.7	0.00e+00	591.34	8.043E-29	1147	platinum
P42792	P00163	AF-P42792-F1-model_v3	AF-P00163-F1-model_v3	1.7e-150	429.1	0.00e+00	1106.84	5.776E-35	1960	platinum
P43299	P38132	AF-P43299-F1-model_v3	AF-P38132-F1-model_v3	2.6e-225	649.4	0.00e+00	1935.07	3.298E-94	3992	platinum
P46086	P07277	AF-P46086-F1-model_v3	AF-P07277-F1-model_v3	3.7e-35	132.1	0.00e+00	851.55	6.700E-32	1455	platinum
P46286	P0CX46	AF-P46286-F1-model_v3	AF-P0CX46-F1-model_v3	4.7e-127	359.0	0.00e+00	743.25	5.662E-47	1847	platinum
P46416	Q08220	AF-P46416-F1-model_v3	AF-Q08220-F1-model_v3	6.1e-86	272.7	0.00e+00	1185.81	8.189E-46	2050	platinum
P48484	P32598	AF-P48484-F1-model_v3	AF-P32598-F1-model_v3	5.7e-186	513.1	0.00e+00	900.72	4.177E-58	2274	platinum
P48529	P32345	AF-P48529-F1-model_v3	AF-P32345-F1-model_v3	3.5e-154	431.8	NA	NA	4.118E-53	2126	gold
P49177	P18851	AF-P49177-F1-model_v3	AF-P18851-F1-model_v3	2.5e-60	198.7	0.00e+00	880.37	1.064E-37	1660	platinum
P49209	P51401	AF-P49209-F1-model_v3	AF-P51401-F1-model_v3	8.5e-61	186.0	NA	NA	3.129E-25	1100	gold
P49637	P02406	AF-P49637-F1-model_v3	AF-P02406-F1-model_v3	1.6e-51	159.1	0.00e+00	391.48	2.672E-21	840	platinum
P49689	P0CX34	AF-P49689-F1-model_v3	AF-P0CX34-F1-model_v3	1.0e-18	69.7	1.44e-09	150.09	1.961E-05	206	platinum
P49967	P20424	AF-P49967-F1-model_v3	AF-P20424-F1-model_v3	6.5e-135	399.1	0.00e+00	1190.13	1.823E-42	2224	platinum
P50883	P0CX54	AF-P50883-F1-model_v3	AF-P0CX54-F1-model_v3	2.0e-70	208.4	0.00e+00	478.68	1.131E-25	1028	platinum
P51424	P04650	AF-P51424-F1-model_v3	AF-P04650-F1-model_v3	2.4e-21	75.5	2.62e-14	143.59	2.374E-06	253	platinum
P52420	P07244	AF-P52420-F1-model_v3	AF-P07244-F1-model_v3	1.3e-96	308.9	0.00e+00	1181.36	2.156E-53	2216	platinum
P53496	P60010	AF-P53496-F1-model_v3	AF-P60010-F1-model_v3	1.3e-244	666.4	0.00e+00	1103.44	2.185E-74	3053	platinum
P53780	P31373	AF-P53780-F1-model_v3	AF-P31373-F1-model_v3	4.0e-89	275.4	0.00e+00	1027.48	1.842E-46	1933	platinum
P54873	P54839	AF-P54873-F1-model_v3	AF-P54839-F1-model_v3	1.1e-138	405.6	0.00e+00	1159.90	6.794E-62	2441	platinum
P54904	P32263	AF-P54904-F1-model_v3	AF-P32263-F1-model_v3	1.7e-37	132.1	0.00e+00	658.31	2.160E-21	935	platinum
P54967	P32451	AF-P54967-F1-model_v3	AF-P32451-F1-model_v3	3.0e-122	356.3	0.00e+00	962.17	1.770E-46	2043	platinum
P55034	P38886	AF-P55034-F1-model_v3	AF-P38886-F1-model_v3	3.1e-63	201.8	1.40e-14	644.61	3.057E-28	1118	platinum
P57720	P28777	AF-P57720-F1-model_v3	AF-P28777-F1-model_v3	1.6e-124	364.4	0.00e+00	1006.68	1.484E-51	2197	platinum
P57742	Q04493	AF-P57742-F1-model_v3	AF-Q04493-F1-model_v3	4.4e-17	71.6	NA	NA	1.665E-11	473	gold
P57750	P38628	AF-P57750-F1-model_v3	AF-P38628-F1-model_v3	1.1e-121	367.9	0.00e+00	1315.87	2.970E-58	2641	platinum
P57751	P32861	AF-P57751-F1-model_v3	AF-P32861-F1-model_v3	2.9e-169	484.2	0.00e+00	1270.60	1.937E-66	2805	platinum
P59224	P05756	AF-P59224-F1-model_v3	AF-P05756-F1-model_v3	1.7e-78	227.6	0.00e+00	431.65	1.246E-19	897	platinum
P59226	P61830	AF-P59226-F1-model_v3	AF-P61830-F1-model_v3	3.9e-79	228.0	0.00e+00	374.29	4.659E-20	732	platinum
P59259	P02309	AF-P59259-F1-model_v3	AF-P02309-F1-model_v3	3.0e-63	185.3	0.00e+00	286.37	2.994E-15	588	platinum
P59271	P05759	AF-P59271-F1-model_v3	AF-P05759-F1-model_v3	2.4e-84	242.7	2.22e-16	430.52	9.604E-27	1041	platinum
P60620	P00401	AF-P60620-F1-model_v3	AF-P00401-F1-model_v3	1.7e-250	694.1	0.00e+00	1443.71	1.912E-57	3167	platinum
P83291	P36060	AF-P83291-F1-model_v3	AF-P36060-F1-model_v3	1.7e-65	206.8	0.00e+00	723.35	4.127E-35	1396	platinum
P92948	Q03654	AF-P92948-F1-model_v3	AF-Q03654-F1-model_v3	1.4e-59	211.5	4.00e-07	1096.52	3.112E-21	1005	platinum
P93008	P23394	AF-P93008-F1-model_v3	AF-P23394-F1-model_v3	2.8e-100	318.9	NA	NA	1.814E-46	1902	gold
P93025	P25341	AF-P93025-F1-model_v3	AF-P25341-F1-model_v3	1.2e-92	307.0	NA	NA	NA	NA	silver
P93655	P36775	AF-P93655-F1-model_v3	AF-P36775-F1-model_v3	2.8e-228	675.2	5.02e-10	2112.10	3.864E-102	4494	platinum
P93736	P07806	AF-P93736-F1-model_v3	AF-P07806-F1-model_v3	6.0e-318	910.6	0.00e+00	2796.51	0.000E+00	5409	platinum
P93757	P15454	AF-P93757-F1-model_v3	AF-P15454-F1-model_v3	2.6e-54	176.0	6.42e-10	524.97	1.163E-22	948	platinum
P93832	P04173	AF-P93832-F1-model_v3	AF-P04173-F1-model_v3	1.2e-93	283.9	0.00e+00	924.64	1.532E-42	1789	platinum
P94102	P25454	AF-P94102-F1-model_v3	AF-P25454-F1-model_v3	1.8e-152	432.6	0.00e+00	934.55	3.989E-53	2149	platinum
Q00IB6	Q03254	AF-Q00IB6-F1-model_v3	AF-Q03254-F1-model_v3	6.0e-21	93.6	1.16e-07	760.32	3.213E-25	1038	platinum
Q02166	P07285	AF-Q02166-F1-model_v3	AF-P07285-F1-model_v3	7.2e-39	142.5	0.00e+00	782.75	1.101E-27	1276	platinum
Q02283	P0CY11	AF-Q02283-F1-model_v3	AF-P0CY11-F1-model_v3	4.6e-04	37.4	NA	NA	NA	NA	silver
Q05153	Q04636	AF-Q05153-F1-model_v3	AF-Q04636-F1-model_v3	2.7e-72	241.5	2.22e-15	1185.02	8.452E-50	2180	platinum
Q05758	P06168	AF-Q05758-F1-model_v3	AF-P06168-F1-model_v3	3.3e-44	160.2	7.77e-16	918.08	1.428E-21	1180	platinum
Q07100	P23595	AF-Q07100-F1-model_v3	AF-P23595-F1-model_v3	7.9e-188	520.0	NA	NA	NA	NA	silver
Q08A97	P36101	AF-Q08A97-F1-model_v3	AF-P36101-F1-model_v3	7.7e-78	247.7	0.00e+00	1038.92	1.568E-36	1583	platinum
Q0PCS3	P32863	AF-Q0PCS3-F1-model_v3	AF-P32863-F1-model_v3	5.2e-141	440.3	3.40e-12	1462.86	NA	NA	gold
Q0WL80	P22023	AF-Q0WL80-F1-model_v3	AF-P22023-F1-model_v3	7.3e-22	101.3	3.39e-10	1997.46	3.192E-51	2610	platinum
Q0WLB5	P22137	AF-Q0WLB5-F1-model_v3	AF-P22137-F1-model_v3	0.0e+00	1431.8	0.00e+00	4754.14	0.000E+00	7930	platinum
Q0WPK3	P50079	AF-Q0WPK3-F1-model_v3	AF-P50079-F1-model_v3	2.3e-45	160.2	NA	NA	NA	NA	silver
Q0WQ63	P38142	AF-Q0WQ63-F1-model_v3	AF-P38142-F1-model_v3	1.5e-47	169.1	0.00e+00	1186.22	NA	NA	gold
Q0WQJ3	P40074	AF-Q0WQJ3-F1-model_v3	AF-P40074-F1-model_v3	3.3e-12	65.9	NA	NA	NA	NA	silver
Q0WQJ7	P28742	AF-Q0WQJ7-F1-model_v3	AF-P28742-F1-model_v3	6.0e-103	346.7	9.99e-16	2521.94	1.368E-53	2358	platinum
Q0WSF1	P38694	AF-Q0WSF1-F1-model_v3	AF-P38694-F1-model_v3	2.5e-123	376.3	0.00e+00	1451.02	8.331E-62	2659	platinum
Q0WUQ7	P43590	AF-Q0WUQ7-F1-model_v3	AF-P43590-F1-model_v3	8.2e-65	216.9	0.00e+00	1113.94	1.519E-42	1753	platinum
Q0WUR5	P34756	AF-Q0WUR5-F1-model_v3	AF-P34756-F1-model_v3	6.2e-117	409.8	2.34e-04	1520.45	NA	NA	gold
Q0WVF5	P30665	AF-Q0WVF5-F1-model_v3	AF-P30665-F1-model_v3	3.2e-223	652.1	0.00e+00	2046.35	NA	NA	gold
Q0WVH7	P53313	AF-Q0WVH7-F1-model_v3	AF-P53313-F1-model_v3	3.6e-48	181.0	4.86e-10	1355.76	1.316E-28	1649	platinum
Q0WVR7	P48567	AF-Q0WVR7-F1-model_v3	AF-P48567-F1-model_v3	1.5e-22	97.8	6.26e-12	495.96	2.423E-20	855	platinum
Q0WW26	P32074	AF-Q0WW26-F1-model_v3	AF-P32074-F1-model_v3	1.3e-160	491.9	0.00e+00	2153.80	1.692E-54	3360	platinum
Q0WW55	P00572	AF-Q0WW55-F1-model_v3	AF-P00572-F1-model_v3	3.5e-49	159.8	0.00e+00	495.67	1.544E-23	944	platinum
Q0WW84	P32831	AF-Q0WW84-F1-model_v3	AF-P32831-F1-model_v3	2.9e-42	156.4	NA	NA	NA	NA	silver
Q0WWQ1	P40344	AF-Q0WWQ1-F1-model_v3	AF-P40344-F1-model_v3	1.6e-35	128.6	6.42e-08	507.63	3.016E-21	900	platinum
Q1EBV4	P40087	AF-Q1EBV4-F1-model_v3	AF-P40087-F1-model_v3	1.3e-49	171.8	6.65e-11	812.95	1.200E-36	1525	platinum
Q1ECJ7	Q05933	AF-Q1ECJ7-F1-model_v3	AF-Q05933-F1-model_v3	1.9e-38	127.9	0.00e+00	412.00	4.308E-14	642	platinum
Q1H595	P38203	AF-Q1H595-F1-model_v3	AF-P38203-F1-model_v3	7.8e-39	122.9	0.00e+00	263.49	2.229E-15	608	platinum
Q1PFD0	Q04399	AF-Q1PFD0-F1-model_v3	AF-Q04399-F1-model_v3	4.5e-07	50.4	NA	NA	NA	NA	silver
Q2HIG7	P38166	AF-Q2HIG7-F1-model_v3	AF-P38166-F1-model_v3	1.9e-18	78.6	2.96e-07	409.69	1.450E-08	406	platinum
Q2PGG3	P36007	AF-Q2PGG3-F1-model_v3	AF-P36007-F1-model_v3	5.9e-79	242.3	NA	NA	5.627E-37	1526	gold
Q2UVJ5	P38329	AF-Q2UVJ5-F1-model_v3	AF-P38329-F1-model_v3	1.2e-58	217.2	1.15e-14	1755.07	2.461E-43	2433	platinum
Q2V2U9	Q03305	AF-Q2V2U9-F1-model_v3	AF-Q03305-F1-model_v3	4.9e-47	162.5	0.00e+00	751.38	1.182E-29	1238	platinum
Q38799	P32473	AF-Q38799-F1-model_v3	AF-P32473-F1-model_v3	7.2e-147	417.9	0.00e+00	1017.00	1.401E-57	2221	platinum
Q38814	P32318	AF-Q38814-F1-model_v3	AF-P32318-F1-model_v3	2.0e-95	285.0	0.00e+00	767.24	1.986E-41	1591	platinum
Q38859	P38902	AF-Q38859-F1-model_v3	AF-P38902-F1-model_v3	2.1e-28	98.2	0.00e+00	333.97	2.927E-14	565	platinum
Q38868	P22216	AF-Q38868-F1-model_v3	AF-P22216-F1-model_v3	5.9e-52	188.0	NA	NA	NA	NA	silver
Q38879	P25372	AF-Q38879-F1-model_v3	AF-P25372-F1-model_v3	6.6e-28	97.8	1.84e-10	307.04	4.994E-14	532	platinum
Q38899	P32833	AF-Q38899-F1-model_v3	AF-P32833-F1-model_v3	4.2e-35	133.7	2.25e-12	780.75	NA	NA	gold
Q38920	P22007	AF-Q38920-F1-model_v3	AF-P22007-F1-model_v3	4.5e-46	164.1	0.00e+00	834.81	2.436E-27	1383	platinum
Q38921	Q02804	AF-Q38921-F1-model_v3	AF-Q02804-F1-model_v3	5.2e-43	141.4	0.00e+00	505.42	2.540E-22	858	platinum
Q38929	P15496	AF-Q38929-F1-model_v3	AF-P15496-F1-model_v3	7.7e-59	188.0	0.00e+00	559.30	1.371E-28	1113	platinum
Q38931	P20081	AF-Q38931-F1-model_v3	AF-P20081-F1-model_v3	2.5e-31	115.5	NA	NA	2.184E-12	628	gold
Q38942	P40066	AF-Q38942-F1-model_v3	AF-P40066-F1-model_v3	2.2e-79	245.4	0.00e+00	878.89	6.624E-41	1845	platinum
Q38953	P24384	AF-Q38953-F1-model_v3	AF-P24384-F1-model_v3	1.8e-313	902.9	0.00e+00	2565.50	0.000E+00	5021	platinum
Q39009	P25453	AF-Q39009-F1-model_v3	AF-P25453-F1-model_v3	1.9e-114	333.6	0.00e+00	935.07	1.007E-44	1855	platinum
Q39071	P32943	AF-Q39071-F1-model_v3	AF-P32943-F1-model_v3	3.6e-38	140.6	NA	NA	NA	NA	silver
Q39160	P32492	AF-Q39160-F1-model_v3	AF-P32492-F1-model_v3	8.6e-183	583.6	NA	NA	NA	NA	silver
Q39211	P16370	AF-Q39211-F1-model_v3	AF-P16370-F1-model_v3	1.9e-48	162.9	NA	NA	1.238E-28	1143	gold
Q39216	P07703	AF-Q39216-F1-model_v3	AF-P07703-F1-model_v3	3.0e-72	227.3	0.00e+00	795.34	6.675E-38	1544	platinum
Q39230	P07284	AF-Q39230-F1-model_v3	AF-P07284-F1-model_v3	8.4e-160	458.0	0.00e+00	1217.44	6.025E-61	2574	platinum
Q39236	P32774	AF-Q39236-F1-model_v3	AF-P32774-F1-model_v3	8.1e-26	91.3	0.00e+00	282.38	4.804E-12	494	platinum
Q39243	P29509	AF-Q39243-F1-model_v3	AF-P29509-F1-model_v3	5.2e-141	401.7	NA	NA	1.696E-53	2109	gold
Q39247	Q00362	AF-Q39247-F1-model_v3	AF-Q00362-F1-model_v3	1.1e-147	431.4	1.74e-14	1027.43	3.251E-59	2685	platinum
Q3MV14	P38149	AF-Q3MV14-F1-model_v3	AF-P38149-F1-model_v3	7.4e-05	42.7	NA	NA	NA	NA	silver
Q41969	P09064	AF-Q41969-F1-model_v3	AF-P09064-F1-model_v3	9.4e-56	179.1	1.27e-09	543.28	1.957E-23	932	platinum
Q42134	P32379	AF-Q42134-F1-model_v3	AF-P32379-F1-model_v3	2.4e-99	288.1	0.00e+00	663.96	4.000E-38	1536	platinum
Q42290	P10507	AF-Q42290-F1-model_v3	AF-P10507-F1-model_v3	9.9e-115	345.9	0.00e+00	1184.45	1.415E-51	2235	platinum
Q42384	Q12417	AF-Q42384-F1-model_v3	AF-Q12417-F1-model_v3	2.4e-36	137.9	4.35e-13	985.90	1.730E-49	2145	platinum
Q42404	Q00916	AF-Q42404-F1-model_v3	AF-Q00916-F1-model_v3	2.2e-30	117.1	6.96e-07	537.67	2.991E-19	748	platinum
Q42406	P25719	AF-Q42406-F1-model_v3	AF-P25719-F1-model_v3	9.2e-72	212.6	NA	NA	7.286E-31	1156	gold
Q42523	P32528	AF-Q42523-F1-model_v3	AF-P32528-F1-model_v3	1.3e-113	375.9	NA	NA	NA	NA	silver
Q42551	P50623	AF-Q42551-F1-model_v3	AF-P50623-F1-model_v3	1.8e-72	213.0	0.00e+00	455.12	3.306E-25	986	platinum
Q42586	P03962	AF-Q42586-F1-model_v3	AF-P03962-F1-model_v3	2.5e-79	246.1	0.00e+00	641.22	1.631E-29	1282	platinum
Q42606	P36150	AF-Q42606-F1-model_v3	AF-P36150-F1-model_v3	8.3e-39	144.1	1.60e-07	647.49	1.164E-27	1080	platinum
Q43316	P28789	AF-Q43316-F1-model_v3	AF-P28789-F1-model_v3	5.5e-45	156.0	0.00e+00	751.28	1.201E-33	1366	platinum
Q500W7	P47088	AF-Q500W7-F1-model_v3	AF-P47088-F1-model_v3	1.9e-78	247.7	0.00e+00	995.22	5.580E-26	1520	platinum
Q500W8	P53729	AF-Q500W8-F1-model_v3	AF-P53729-F1-model_v3	1.4e-54	183.7	0.00e+00	709.10	1.606E-34	1366	platinum
Q564K3	P38170	AF-Q564K3-F1-model_v3	AF-P38170-F1-model_v3	6.1e-31	127.1	1.68e-02	735.65	NA	NA	gold
Q56XE4	Q05900	AF-Q56XE4-F1-model_v3	AF-Q05900-F1-model_v3	2.0e-07	47.8	1.27e-02	208.86	NA	NA	gold
Q56XG6	Q07478	AF-Q56XG6-F1-model_v3	AF-Q07478-F1-model_v3	1.8e-195	547.0	0.00e+00	1168.37	6.984E-62	2506	platinum
Q56XY2	Q08726	AF-Q56XY2-F1-model_v3	AF-Q08726-F1-model_v3	1.1e-91	274.2	0.00e+00	765.93	1.188E-32	1484	platinum
Q56YA5	P43567	AF-Q56YA5-F1-model_v3	AF-P43567-F1-model_v3	2.9e-32	123.6	0.00e+00	868.01	2.457E-30	1316	platinum
Q56YN8	P47037	AF-Q56YN8-F1-model_v3	AF-P47037-F1-model_v3	4.4e-175	548.1	0.00e+00	3238.23	1.768E-94	4064	platinum
Q5D892	P51979	AF-Q5D892-F1-model_v3	AF-P51979-F1-model_v3	7.7e-118	391.3	1.21e-14	2171.66	NA	NA	gold
Q5E915	P39706	AF-Q5E915-F1-model_v3	AF-P39706-F1-model_v3	9.1e-45	161.8	0.00e+00	887.15	2.032E-32	1449	platinum
Q5HZ38	P43637	AF-Q5HZ38-F1-model_v3	AF-P43637-F1-model_v3	4.2e-47	167.5	NA	NA	NA	NA	silver
Q5IBC5	Q03018	AF-Q5IBC5-F1-model_v3	AF-Q03018-F1-model_v3	1.5e-32	137.1	2.05e-08	2001.21	6.748E-26	1809	platinum
Q5M757	P42836	AF-Q5M757-F1-model_v3	AF-P42836-F1-model_v3	1.1e-19	85.5	NA	NA	9.942E-14	709	gold
Q5PP70	P38340	AF-Q5PP70-F1-model_v3	AF-P38340-F1-model_v3	3.3e-54	173.7	0.00e+00	571.01	1.935E-28	1088	platinum
Q5W9E7	Q04149	AF-Q5W9E7-F1-model_v3	AF-Q04149-F1-model_v3	1.2e-21	97.4	6.07e-09	1013.89	2.871E-28	1312	platinum
Q5XVC2	Q08647	AF-Q5XVC2-F1-model_v3	AF-Q08647-F1-model_v3	1.9e-103	329.3	4.75e-12	1252.51	3.109E-50	2361	platinum
Q66GQ1	P32559	AF-Q66GQ1-F1-model_v3	AF-P32559-F1-model_v3	5.5e-46	167.5	0.00e+00	1051.53	5.975E-38	1684	platinum
