Uniprot_arabadopsis	Uniprot_maize	AlphaFold_arabadopsis	AlphaFold_maize	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A1P8B9K4	K7U4R6	AF-A0A1P8B9K4-F1-model_v3	AF-K7U4R6-F1-model_v3	3.5e-77	246.1	1.46e-12	870.66	3.221E-17	1027	platinum
A0A1P8B9P9	K7UKE8	AF-A0A1P8B9P9-F1-model_v3	AF-K7UKE8-F1-model_v3	5.3e-05	44.7	2.19e-03	484.62	NA	NA	gold
A0A1P8B9S9	A0A1D6MD92	AF-A0A1P8B9S9-F1-model_v3	AF-A0A1D6MD92-F1-model_v3	1.9e-262	777.7	4.02e-11	2246.38	NA	NA	gold
A0A1P8BA81	B6TN44	AF-A0A1P8BA81-F1-model_v3	AF-B6TN44-F1-model_v3	5.9e-74	224.6	0.00e+00	519.84	3.233E-26	1069	platinum
A0A1P8BAF7	A0A1D6NMV7	AF-A0A1P8BAF7-F1-model_v3	AF-A0A1D6NMV7-F1-model_v3	1.5e-43	169.1	1.48e-08	1672.78	NA	NA	gold
A0A1P8BB42	A0A1D6G3B1	AF-A0A1P8BB42-F1-model_v3	AF-A0A1D6G3B1-F1-model_v3	3.1e-86	266.2	2.04e-08	708.67	9.829E-39	1492	platinum
A0A1P8BB64	B4FMA5	AF-A0A1P8BB64-F1-model_v3	AF-B4FMA5-F1-model_v3	3.9e-59	189.5	3.29e-05	508.88	1.645E-16	730	platinum
A0A1P8BB81	A0A1D6HR52	AF-A0A1P8BB81-F1-model_v3	AF-A0A1D6HR52-F1-model_v3	3.2e-26	107.8	NA	NA	NA	NA	silver
A0A1P8BBA5	A0A1D6IJ47	AF-A0A1P8BBA5-F1-model_v3	AF-A0A1D6IJ47-F1-model_v3	4.6e-307	884.4	2.00e-14	2290.54	0.000E+00	4967	platinum
A0A1P8BBF5	A0A1D6HC95	AF-A0A1P8BBF5-F1-model_v3	AF-A0A1D6HC95-F1-model_v3	1.4e-87	259.6	0.00e+00	567.66	2.653E-30	1207	platinum
A0A1P8BC04	A0A1D6L2Y8	AF-A0A1P8BC04-F1-model_v3	AF-A0A1D6L2Y8-F1-model_v3	7.2e-59	187.6	1.10e-05	389.57	NA	NA	gold
A0A1P8BCC3	A0A1D6FQJ6	AF-A0A1P8BCC3-F1-model_v3	AF-A0A1D6FQJ6-F1-model_v3	1.0e-11	54.7	4.79e-08	136.45	2.633E-04	191	platinum
A0A1P8BCR2	A0A1D6GLW1	AF-A0A1P8BCR2-F1-model_v3	AF-A0A1D6GLW1-F1-model_v3	6.8e-72	219.5	0.00e+00	574.31	1.708E-24	1063	platinum
A0A1P8BD18	A0A1D6FCB8	AF-A0A1P8BD18-F1-model_v3	AF-A0A1D6FCB8-F1-model_v3	1.1e-107	320.5	1.56e-13	701.69	2.854E-27	1126	platinum
A0A1P8BD81	A0A1D6F5Y4	AF-A0A1P8BD81-F1-model_v3	AF-A0A1D6F5Y4-F1-model_v3	0.0e+00	1256.1	0.00e+00	2883.06	7.225E-87	5463	platinum
A0A1P8BD97	K7UAL3	AF-A0A1P8BD97-F1-model_v3	AF-K7UAL3-F1-model_v3	8.4e-124	404.1	8.34e-04	1468.43	NA	NA	gold
A0A1P8BDE8	A0A1D6E8R6	AF-A0A1P8BDE8-F1-model_v3	AF-A0A1D6E8R6-F1-model_v3	3.0e-130	383.3	NA	NA	NA	NA	silver
A0A1P8BDL4	A0A1D6F6J8	AF-A0A1P8BDL4-F1-model_v3	AF-A0A1D6F6J8-F1-model_v3	8.6e-84	248.8	0.00e+00	575.53	3.584E-34	1312	platinum
A0A1P8BDN2	A0A1D6L3I8	AF-A0A1P8BDN2-F1-model_v3	AF-A0A1D6L3I8-F1-model_v3	1.8e-15	71.2	1.29e-08	344.60	4.707E-12	603	platinum
A0A1P8BDW0	A0A1D6HGJ8	AF-A0A1P8BDW0-F1-model_v3	AF-A0A1D6HGJ8-F1-model_v3	5.3e-53	165.2	1.16e-09	286.33	8.326E-12	597	platinum
A0A1P8BE87	A0A1D6LAB0	AF-A0A1P8BE87-F1-model_v3	AF-A0A1D6LAB0-F1-model_v3	9.2e-93	276.2	1.04e-13	594.78	2.652E-35	1381	platinum
A0A1P8BEG6	A0A1D6NLK8	AF-A0A1P8BEG6-F1-model_v3	AF-A0A1D6NLK8-F1-model_v3	1.5e-76	228.4	3.41e-08	382.56	2.235E-23	887	platinum
A0A1P8BEU1	K7V2L0	AF-A0A1P8BEU1-F1-model_v3	AF-K7V2L0-F1-model_v3	3.4e-25	97.4	NA	NA	NA	NA	silver
A0A1P8BEX4	A0A1D6I2K9	AF-A0A1P8BEX4-F1-model_v3	AF-A0A1D6I2K9-F1-model_v3	5.5e-115	339.3	0.00e+00	933.02	2.845E-42	1831	platinum
A0A1P8BFV7	B6U683	AF-A0A1P8BFV7-F1-model_v3	AF-B6U683-F1-model_v3	8.9e-52	162.5	3.45e-10	313.08	4.661E-18	682	platinum
A0A1P8BGD5	A0A1D6EMH1	AF-A0A1P8BGD5-F1-model_v3	AF-A0A1D6EMH1-F1-model_v3	3.3e-150	441.0	9.46e-13	1030.14	8.343E-56	2237	platinum
A0A1P8BGF0	B4FFF2	AF-A0A1P8BGF0-F1-model_v3	AF-B4FFF2-F1-model_v3	3.3e-46	160.6	7.34e-06	603.94	NA	NA	gold
A0A1P8BGI7	A0A1D6HYS5	AF-A0A1P8BGI7-F1-model_v3	AF-A0A1D6HYS5-F1-model_v3	1.1e-189	538.9	NA	NA	NA	NA	silver
A0A1P8BHH9	A0A1D6EHU5	AF-A0A1P8BHH9-F1-model_v3	AF-A0A1D6EHU5-F1-model_v3	2.3e-08	52.0	NA	NA	NA	NA	silver
A0A219HZL6	B4F874	AF-A0A219HZL6-F1-model_v3	AF-B4F874-F1-model_v3	3.7e-105	312.4	1.49e-11	642.09	1.666E-29	1193	platinum
A0A2P2CLC3	Q6R977	AF-A0A2P2CLC3-F1-model_v3	AF-Q6R977-F1-model_v3	1.2e-200	552.7	0.00e+00	951.34	4.766E-42	2285	platinum
A0A2P2CLC5	Q6R9H4	AF-A0A2P2CLC5-F1-model_v3	AF-Q6R9H4-F1-model_v3	0.0e+00	1226.5	0.00e+00	1990.32	8.960E-86	4983	platinum
A0A2P2CLF0	Q52R09	AF-A0A2P2CLF0-F1-model_v3	AF-Q52R09-F1-model_v3	2.0e-148	415.2	0.00e+00	687.65	2.078E-41	1661	platinum
A0A2P2CLF6	Q6R9L0	AF-A0A2P2CLF6-F1-model_v3	AF-Q6R9L0-F1-model_v3	2.9e-127	355.9	0.00e+00	551.17	1.755E-36	1417	platinum
A0A2P2CLG7	Q6R9F4	AF-A0A2P2CLG7-F1-model_v3	AF-Q6R9F4-F1-model_v3	4.4e-76	220.7	0.00e+00	334.12	1.599E-16	623	platinum
A0A2P2CLH3	Q6R9F2	AF-A0A2P2CLH3-F1-model_v3	AF-Q6R9F2-F1-model_v3	0.0e+00	1057.7	1.76e-11	1342.44	6.317E-81	3383	platinum
A0A2P2CLH9	Q6R9J5	AF-A0A2P2CLH9-F1-model_v3	AF-Q6R9J5-F1-model_v3	3.3e-80	238.0	2.69e-09	442.89	5.612E-15	503	platinum
A0JQ00	C0PED2	AF-A0JQ00-F1-model_v3	AF-C0PED2-F1-model_v3	3.4e-37	130.2	4.49e-14	552.80	2.057E-22	914	platinum
A0JQ12	B4FKW0	AF-A0JQ12-F1-model_v3	AF-B4FKW0-F1-model_v3	1.4e-59	187.6	0.00e+00	518.93	2.294E-19	862	platinum
A0JQ16	A0A1D6PDD4	AF-A0JQ16-F1-model_v3	AF-A0A1D6PDD4-F1-model_v3	5.0e-101	294.7	0.00e+00	570.69	1.266E-19	1028	platinum
A0JQ78	A0A1D6K7W2	AF-A0JQ78-F1-model_v3	AF-A0A1D6K7W2-F1-model_v3	1.5e-18	80.5	3.53e-02	187.93	NA	NA	gold
A0MES8	Q8L7W9	AF-A0MES8-F1-model_v3	AF-Q8L7W9-F1-model_v3	1.1e-33	124.4	NA	NA	NA	NA	silver
A0MFS5	B6TTV8	AF-A0MFS5-F1-model_v3	AF-B6TTV8-F1-model_v3	8.8e-188	535.4	7.44e-15	1157.72	2.549E-53	2401	platinum
A0MFS9	A0A1D6NEF8	AF-A0MFS9-F1-model_v3	AF-A0A1D6NEF8-F1-model_v3	1.1e-265	745.3	0.00e+00	1749.50	3.148E-66	3339	platinum
A1A6H3	A0A1D6G0Z9	AF-A1A6H3-F1-model_v3	AF-A0A1D6G0Z9-F1-model_v3	1.5e-132	384.0	0.00e+00	901.39	1.202E-47	1958	platinum
A1A6J3	A0A1D6HBJ9	AF-A1A6J3-F1-model_v3	AF-A0A1D6HBJ9-F1-model_v3	1.9e-114	341.7	2.19e-14	766.06	5.803E-46	1771	platinum
A1A6K6	A0A1D6NWE4	AF-A1A6K6-F1-model_v3	AF-A0A1D6NWE4-F1-model_v3	5.7e-50	164.5	NA	NA	NA	NA	silver
A1A6M1	A0A1D6JAB9	AF-A1A6M1-F1-model_v3	AF-A0A1D6JAB9-F1-model_v3	1.8e-36	136.0	3.09e-04	525.67	5.659E-22	868	platinum
A1L4V7	A0A1D6NEQ8	AF-A1L4V7-F1-model_v3	AF-A0A1D6NEQ8-F1-model_v3	3.0e-116	347.1	0.00e+00	939.90	4.665E-47	1963	platinum
A1L4X0	A0A1D6PI86	AF-A1L4X0-F1-model_v3	AF-A0A1D6PI86-F1-model_v3	5.8e-143	414.8	0.00e+00	1110.05	1.549E-34	2017	platinum
A1L4Y1	A0A1D6HKA8	AF-A1L4Y1-F1-model_v3	AF-A0A1D6HKA8-F1-model_v3	1.9e-201	561.2	1.40e-12	946.06	5.126E-55	2221	platinum
A1L4Y2	A0A1D6KC47	AF-A1L4Y2-F1-model_v3	AF-A0A1D6KC47-F1-model_v3	2.4e-177	500.4	NA	NA	6.642E-64	2512	gold
A1L4Y4	A0A1D6JJP0	AF-A1L4Y4-F1-model_v3	AF-A0A1D6JJP0-F1-model_v3	3.7e-178	501.1	0.00e+00	1043.66	9.021E-62	2395	platinum
A2RVJ8	K7TLI5	AF-A2RVJ8-F1-model_v3	AF-K7TLI5-F1-model_v3	1.5e-115	342.4	0.00e+00	975.95	8.095E-45	1751	platinum
A2RVK7	A0A1D6IKI0	AF-A2RVK7-F1-model_v3	AF-A0A1D6IKI0-F1-model_v3	1.4e-117	337.0	0.00e+00	643.32	2.244E-40	1597	platinum
A2RVM4	A0A1D6E240	AF-A2RVM4-F1-model_v3	AF-A0A1D6E240-F1-model_v3	7.8e-92	276.6	1.90e-12	654.17	5.734E-33	1325	platinum
A2RVM8	A0A1D6MME1	AF-A2RVM8-F1-model_v3	AF-A0A1D6MME1-F1-model_v3	1.8e-27	112.5	NA	NA	NA	NA	silver
A2RVN2	C0P9L8	AF-A2RVN2-F1-model_v3	AF-C0P9L8-F1-model_v3	3.7e-117	346.7	0.00e+00	896.77	4.588E-53	2269	platinum
A2RVP7	A0A1D6JZL5	AF-A2RVP7-F1-model_v3	AF-A0A1D6JZL5-F1-model_v3	7.9e-62	188.0	NA	NA	4.497E-13	680	gold
A2RVR7	B4G0P4	AF-A2RVR7-F1-model_v3	AF-B4G0P4-F1-model_v3	7.2e-193	540.4	0.00e+00	1082.03	1.752E-54	2373	platinum
A2RVT9	A0A1D6HP97	AF-A2RVT9-F1-model_v3	AF-A0A1D6HP97-F1-model_v3	4.0e-47	154.1	2.09e-09	349.86	6.107E-17	800	platinum
A2RVW1	A0A1D6JJ34	AF-A2RVW1-F1-model_v3	AF-A0A1D6JJ34-F1-model_v3	1.7e-88	268.9	1.93e-08	638.64	NA	NA	gold
A3EWL3	A0A1D6GU80	AF-A3EWL3-F1-model_v3	AF-A0A1D6GU80-F1-model_v3	1.1e-289	840.9	4.03e-09	2199.73	2.693E-101	4422	platinum
A3KPF3	B6SWH5	AF-A3KPF3-F1-model_v3	AF-B6SWH5-F1-model_v3	6.4e-233	650.6	0.00e+00	1398.84	4.747E-44	2657	platinum
A4FVN8	K7VKY1	AF-A4FVN8-F1-model_v3	AF-K7VKY1-F1-model_v3	1.8e-301	828.6	0.00e+00	1479.07	5.553E-87	3828	platinum
A4GSN8	A0A1D6QER8	AF-A4GSN8-F1-model_v3	AF-A0A1D6QER8-F1-model_v3	2.0e-288	898.3	7.37e-09	4533.52	3.060E-91	3044	platinum
A4IJ37	B4F8R1	AF-A4IJ37-F1-model_v3	AF-B4F8R1-F1-model_v3	3.5e-177	505.0	0.00e+00	1128.37	7.040E-65	2540	platinum
A4IJ41	B4FMK4	AF-A4IJ41-F1-model_v3	AF-B4FMK4-F1-model_v3	1.3e-142	417.2	4.44e-15	982.26	1.753E-52	2147	platinum
A6QR87	B4FS62	AF-A6QR87-F1-model_v3	AF-B4FS62-F1-model_v3	1.9e-27	99.0	NA	NA	2.062E-10	423	gold
A7UL74	A0A1D6E731	AF-A7UL74-F1-model_v3	AF-A0A1D6E731-F1-model_v3	1.7e-66	213.0	2.08e-08	643.84	2.330E-30	1209	platinum
A7WM73	A0A1D6LHI9	AF-A7WM73-F1-model_v3	AF-A0A1D6LHI9-F1-model_v3	2.3e-233	655.2	NA	NA	2.132E-77	3237	gold
A8MQD8	A0A1D6P9I3	AF-A8MQD8-F1-model_v3	AF-A0A1D6P9I3-F1-model_v3	1.9e-76	226.9	1.11e-07	353.46	5.591E-14	612	platinum
A8MQG8	A0A1D6PFI5	AF-A8MQG8-F1-model_v3	AF-A0A1D6PFI5-F1-model_v3	1.1e-144	421.8	1.53e-12	882.12	NA	NA	gold
A8MQN4	A0A1D6P809	AF-A8MQN4-F1-model_v3	AF-A0A1D6P809-F1-model_v3	1.6e-184	528.1	1.11e-16	1271.69	2.052E-64	2690	platinum
A8MQS6	A0A1D6DUP4	AF-A8MQS6-F1-model_v3	AF-A0A1D6DUP4-F1-model_v3	1.5e-17	70.5	NA	NA	NA	NA	silver
A8MR80	B6UHT6	AF-A8MR80-F1-model_v3	AF-B6UHT6-F1-model_v3	3.4e-19	76.6	5.04e-06	221.91	6.601E-06	281	platinum
A8MR93	A0A1D6E4B0	AF-A8MR93-F1-model_v3	AF-A0A1D6E4B0-F1-model_v3	6.4e-218	611.3	0.00e+00	1382.04	7.096E-55	2956	platinum
A8MR99	A0A1D6N6A3	AF-A8MR99-F1-model_v3	AF-A0A1D6N6A3-F1-model_v3	7.2e-196	573.9	1.11e-16	1539.57	2.685E-48	2523	platinum
A8MRC1	A0A1D6KE76	AF-A8MRC1-F1-model_v3	AF-A0A1D6KE76-F1-model_v3	8.9e-180	539.3	6.27e-13	1270.28	NA	NA	gold
A8MRG8	B4FIX5	AF-A8MRG8-F1-model_v3	AF-B4FIX5-F1-model_v3	5.5e-83	251.5	9.99e-16	658.09	7.429E-33	1340	platinum
A8MRN4	B4FQ53	AF-A8MRN4-F1-model_v3	AF-B4FQ53-F1-model_v3	1.1e-15	74.3	8.17e-05	394.11	5.780E-07	311	platinum
A8MRY9	K7U1T7	AF-A8MRY9-F1-model_v3	AF-K7U1T7-F1-model_v3	3.9e-151	429.1	0.00e+00	937.58	2.105E-35	1926	platinum
A8MRZ2	A0A1D6IT32	AF-A8MRZ2-F1-model_v3	AF-A0A1D6IT32-F1-model_v3	5.3e-85	256.9	6.66e-16	624.91	1.228E-19	1088	platinum
A8MS41	A0A1D6M341	AF-A8MS41-F1-model_v3	AF-A0A1D6M341-F1-model_v3	2.4e-137	399.4	2.22e-16	904.85	6.756E-52	2099	platinum
A8MS68	A0A1D6FLZ4	AF-A8MS68-F1-model_v3	AF-A0A1D6FLZ4-F1-model_v3	8.2e-307	844.7	0.00e+00	1568.25	6.082E-98	3952	platinum
A8MS85	A0A1D6M795	AF-A8MS85-F1-model_v3	AF-A0A1D6M795-F1-model_v3	0.0e+00	1568.1	0.00e+00	3603.87	NA	NA	gold
A9LLI7	A0A1D6KUQ4	AF-A9LLI7-F1-model_v3	AF-A0A1D6KUQ4-F1-model_v3	8.4e-206	609.0	1.46e-08	1787.15	4.962E-63	2992	platinum
A9LLI8	A0A1D6ICX7	AF-A9LLI8-F1-model_v3	AF-A0A1D6ICX7-F1-model_v3	0.0e+00	935.6	3.33e-16	2070.27	NA	NA	gold
A9LNK9	A0A1D6LPN0	AF-A9LNK9-F1-model_v3	AF-A0A1D6LPN0-F1-model_v3	3.2e-182	530.8	2.30e-07	1369.54	1.162E-65	2537	platinum
B0F481	A0A1D6IXT4	AF-B0F481-F1-model_v3	AF-A0A1D6IXT4-F1-model_v3	0.0e+00	927.9	0.00e+00	2144.02	0.000E+00	4865	platinum
B0F9L4	A0A1D6IWI6	AF-B0F9L4-F1-model_v3	AF-A0A1D6IWI6-F1-model_v3	2.2e-309	877.1	0.00e+00	2280.36	1.991E-61	3867	platinum
B0F9L7	A0A1D6DVY0	AF-B0F9L7-F1-model_v3	AF-A0A1D6DVY0-F1-model_v3	1.0e-91	297.4	NA	NA	NA	NA	silver
B0M1H3	C4JBA5	AF-B0M1H3-F1-model_v3	AF-C4JBA5-F1-model_v3	1.8e-211	627.9	0.00e+00	2332.64	6.051E-51	3327	platinum
B3DNN5	K7VK95	AF-B3DNN5-F1-model_v3	AF-K7VK95-F1-model_v3	4.2e-280	773.9	0.00e+00	1471.93	2.304E-52	2989	platinum
B3DNP3	A0A1D6G5X3	AF-B3DNP3-F1-model_v3	AF-A0A1D6G5X3-F1-model_v3	2.6e-145	425.6	3.25e-11	1003.95	1.051E-47	1935	platinum
B3H4B7	B6TGI5	AF-B3H4B7-F1-model_v3	AF-B6TGI5-F1-model_v3	1.1e-06	44.3	NA	NA	NA	NA	silver
B3H4G1	A0A1D6Q6J2	AF-B3H4G1-F1-model_v3	AF-A0A1D6Q6J2-F1-model_v3	9.0e-27	101.3	NA	NA	3.332E-14	655	gold
B3H4L6	B6U0F0	AF-B3H4L6-F1-model_v3	AF-B6U0F0-F1-model_v3	2.4e-09	48.9	3.62e-05	164.61	NA	NA	gold
B3H4P0	B4FLG1	AF-B3H4P0-F1-model_v3	AF-B4FLG1-F1-model_v3	8.3e-63	200.7	2.07e-09	597.62	1.806E-30	1150	platinum
B3H4P1	C4J4F3	AF-B3H4P1-F1-model_v3	AF-C4J4F3-F1-model_v3	9.3e-125	383.6	0.00e+00	1493.68	NA	NA	gold
B3H5K3	A0A1D6NZ16	AF-B3H5K3-F1-model_v3	AF-A0A1D6NZ16-F1-model_v3	0.0e+00	1262.3	0.00e+00	3558.37	6.356E-94	6255	platinum
B3H5K9	A0A1D6ELF0	AF-B3H5K9-F1-model_v3	AF-A0A1D6ELF0-F1-model_v3	2.2e-241	692.2	1.81e-10	1584.85	7.425E-72	3116	platinum
B3H5S3	C0HDR4	AF-B3H5S3-F1-model_v3	AF-C0HDR4-F1-model_v3	5.1e-54	169.5	5.46e-10	376.81	1.410E-13	514	platinum
B3H5W4	A0A1D6KJ57	AF-B3H5W4-F1-model_v3	AF-A0A1D6KJ57-F1-model_v3	1.5e-57	184.9	7.74e-14	537.02	3.784E-26	1094	platinum
B3H615	A0A1D6L4A5	AF-B3H615-F1-model_v3	AF-A0A1D6L4A5-F1-model_v3	6.4e-118	339.0	1.79e-07	510.30	1.231E-24	1024	platinum
B3H6G9	C0P947	AF-B3H6G9-F1-model_v3	AF-C0P947-F1-model_v3	7.3e-75	234.6	0.00e+00	767.50	1.305E-33	1346	platinum
B3H6H3	A0A1D6QQM8	AF-B3H6H3-F1-model_v3	AF-A0A1D6QQM8-F1-model_v3	1.8e-20	77.4	1.64e-03	100.57	NA	NA	gold
B3H6K1	K7VH76	AF-B3H6K1-F1-model_v3	AF-K7VH76-F1-model_v3	1.0e-143	418.3	0.00e+00	1178.16	7.177E-34	1964	platinum
B3H6L5	A0A1D6M2X0	AF-B3H6L5-F1-model_v3	AF-A0A1D6M2X0-F1-model_v3	2.1e-147	441.0	3.11e-15	1364.79	NA	NA	gold
B3H6R4	K7V736	AF-B3H6R4-F1-model_v3	AF-K7V736-F1-model_v3	2.2e-18	79.7	NA	NA	NA	NA	silver
B3H6Z8	A0A1D6NCS8	AF-B3H6Z8-F1-model_v3	AF-A0A1D6NCS8-F1-model_v3	2.1e-274	795.0	1.62e-08	2155.89	NA	NA	gold
B3H742	A0A1D6ID37	AF-B3H742-F1-model_v3	AF-A0A1D6ID37-F1-model_v3	5.6e-04	36.6	2.72e-05	189.64	NA	NA	gold
B3H765	A0A1D6MPB2	AF-B3H765-F1-model_v3	AF-A0A1D6MPB2-F1-model_v3	7.8e-185	544.3	8.38e-07	1254.83	NA	NA	gold
B3H7H1	B4FA42	AF-B3H7H1-F1-model_v3	AF-B4FA42-F1-model_v3	2.3e-195	546.6	0.00e+00	1090.24	5.004E-55	2635	platinum
B3LF83	B4G010	AF-B3LF83-F1-model_v3	AF-B4G010-F1-model_v3	2.1e-133	391.3	NA	NA	NA	NA	silver
B4F7N6	B4FND9	AF-B4F7N6-F1-model_v3	AF-B4FND9-F1-model_v3	2.0e-145	421.0	0.00e+00	1000.99	6.346E-48	2056	platinum
B4F7N8	C0P4N7	AF-B4F7N8-F1-model_v3	AF-C0P4N7-F1-model_v3	1.5e-154	445.3	2.22e-16	980.73	2.302E-30	1782	platinum
B5BT18	A0A1D6ME19	AF-B5BT18-F1-model_v3	AF-A0A1D6ME19-F1-model_v3	0.0e+00	2300.4	0.00e+00	4679.65	0.000E+00	10411	platinum
B5X0I6	A0A1D6E2B4	AF-B5X0I6-F1-model_v3	AF-A0A1D6E2B4-F1-model_v3	0.0e+00	1129.0	0.00e+00	2793.10	3.629E-86	5057	platinum
B5X503	A0A1D6JZT8	AF-B5X503-F1-model_v3	AF-A0A1D6JZT8-F1-model_v3	4.3e-168	493.4	9.99e-16	1343.38	6.101E-67	2902	platinum
B5X565	A0A1D6F7R3	AF-B5X565-F1-model_v3	AF-A0A1D6F7R3-F1-model_v3	2.4e-277	775.0	8.65e-12	1548.41	4.133E-87	3550	platinum
B5X582	A0A1D6LPW0	AF-B5X582-F1-model_v3	AF-A0A1D6LPW0-F1-model_v3	7.5e-293	818.9	0.00e+00	1797.53	2.564E-99	4104	platinum
B6EUA9	A0A1D6NNQ8	AF-B6EUA9-F1-model_v3	AF-A0A1D6NNQ8-F1-model_v3	2.8e-203	608.6	1.86e-09	2072.26	5.511E-65	3251	platinum
B6IDH3	A0A1D6MLP6	AF-B6IDH3-F1-model_v3	AF-A0A1D6MLP6-F1-model_v3	2.8e-149	435.3	4.82e-14	1032.78	1.577E-30	1753	platinum
B6IDH4	A0A1D6FM57	AF-B6IDH4-F1-model_v3	AF-A0A1D6FM57-F1-model_v3	4.5e-148	429.5	NA	NA	4.964E-51	1992	gold
B6IDH6	K7V0V8	AF-B6IDH6-F1-model_v3	AF-K7V0V8-F1-model_v3	3.5e-78	237.3	1.76e-11	558.75	2.338E-22	1099	platinum
B6SFA4	A0A1D6GH93	AF-B6SFA4-F1-model_v3	AF-A0A1D6GH93-F1-model_v3	1.6e-289	818.1	0.00e+00	1881.27	1.389E-98	4217	platinum
B7SY83	A0A1D6EHK9	AF-B7SY83-F1-model_v3	AF-A0A1D6EHK9-F1-model_v3	3.8e-50	194.9	5.09e-04	1244.39	1.193E-39	1620	platinum
B7ZWR6	A0A1D6HSP5	AF-B7ZWR6-F1-model_v3	AF-A0A1D6HSP5-F1-model_v3	2.0e-115	353.6	4.92e-12	1285.32	4.038E-39	2110	platinum
B7ZWR7	A0A1D6LVH0	AF-B7ZWR7-F1-model_v3	AF-A0A1D6LVH0-F1-model_v3	4.9e-211	597.4	0.00e+00	1364.30	1.483E-67	2932	platinum
B8XCH5	K7VZ07	AF-B8XCH5-F1-model_v3	AF-K7VZ07-F1-model_v3	0.0e+00	1213.7	0.00e+00	2451.72	NA	NA	gold
B9DF92	C0PHN5	AF-B9DF92-F1-model_v3	AF-C0PHN5-F1-model_v3	6.3e-71	233.8	1.51e-03	588.22	3.245E-16	628	platinum
B9DFG3	A0A1D6HJR7	AF-B9DFG3-F1-model_v3	AF-A0A1D6HJR7-F1-model_v3	0.0e+00	1328.9	4.44e-15	3036.71	0.000E+00	6668	platinum
B9DFI7	A0A1D6I498	AF-B9DFI7-F1-model_v3	AF-A0A1D6I498-F1-model_v3	0.0e+00	975.3	0.00e+00	1676.45	0.000E+00	4308	platinum
B9DFM7	B6TUW4	AF-B9DFM7-F1-model_v3	AF-B6TUW4-F1-model_v3	1.2e-05	44.3	1.03e-02	211.44	NA	NA	gold
B9DFR3	A0A1D6P731	AF-B9DFR3-F1-model_v3	AF-A0A1D6P731-F1-model_v3	2.0e-163	470.7	0.00e+00	1115.77	7.775E-64	2498	platinum
B9DFU2	A0A1D6MKN1	AF-B9DFU2-F1-model_v3	AF-A0A1D6MKN1-F1-model_v3	1.8e-220	620.5	0.00e+00	1456.26	4.349E-58	3061	platinum
B9DFX7	A0A1D6JQD0	AF-B9DFX7-F1-model_v3	AF-A0A1D6JQD0-F1-model_v3	0.0e+00	1067.4	0.00e+00	2405.84	7.371E-103	5375	platinum
B9DFZ2	A0A1D6L9A3	AF-B9DFZ2-F1-model_v3	AF-A0A1D6L9A3-F1-model_v3	3.3e-147	431.4	1.54e-08	1037.73	6.546E-48	1924	platinum
B9DG41	A0A1D6KLF6	AF-B9DG41-F1-model_v3	AF-A0A1D6KLF6-F1-model_v3	4.0e-86	256.5	0.00e+00	587.52	1.294E-33	1369	platinum
B9DG54	K7UT41	AF-B9DG54-F1-model_v3	AF-K7UT41-F1-model_v3	6.0e-32	112.8	4.10e-06	281.77	1.620E-11	452	platinum
B9DG91	A0A1D6MPS1	AF-B9DG91-F1-model_v3	AF-A0A1D6MPS1-F1-model_v3	1.1e-04	41.6	NA	NA	NA	NA	silver
B9DGC0	A0A1D6G1D0	AF-B9DGC0-F1-model_v3	AF-A0A1D6G1D0-F1-model_v3	7.9e-182	515.8	0.00e+00	956.00	3.957E-53	2301	platinum
B9DGI8	A0A1D6L7S7	AF-B9DGI8-F1-model_v3	AF-A0A1D6L7S7-F1-model_v3	2.0e-37	134.8	NA	NA	NA	NA	silver
B9DGU7	A0A1D6N2A6	AF-B9DGU7-F1-model_v3	AF-A0A1D6N2A6-F1-model_v3	8.8e-117	335.5	0.00e+00	709.00	2.167E-45	1781	platinum
B9DHA4	B4FCH1	AF-B9DHA4-F1-model_v3	AF-B4FCH1-F1-model_v3	1.1e-108	318.5	0.00e+00	727.68	1.890E-37	1582	platinum
B9DHA5	A0A1D6PJ77	AF-B9DHA5-F1-model_v3	AF-A0A1D6PJ77-F1-model_v3	2.0e-133	391.0	3.97e-13	930.29	1.172E-53	2164	platinum
B9DHC9	B4FAI0	AF-B9DHC9-F1-model_v3	AF-B4FAI0-F1-model_v3	1.1e-96	306.2	9.47e-05	935.29	1.263E-30	1151	platinum
B9DHG0	C0PEY7	AF-B9DHG0-F1-model_v3	AF-C0PEY7-F1-model_v3	9.8e-87	262.7	9.53e-09	592.24	NA	NA	gold
B9DHT4	A0A1D6M3M1	AF-B9DHT4-F1-model_v3	AF-A0A1D6M3M1-F1-model_v3	6.1e-206	599.7	0.00e+00	1882.42	4.161E-64	3870	platinum
C0LGD7	A0A1D6EG82	AF-C0LGD7-F1-model_v3	AF-A0A1D6EG82-F1-model_v3	4.3e-253	740.7	0.00e+00	2442.60	0.000E+00	5453	platinum
C0LGE0	A0A1D6I2K1	AF-C0LGE0-F1-model_v3	AF-A0A1D6I2K1-F1-model_v3	5.9e-238	683.7	NA	NA	NA	NA	silver
C0LGF5	K7VAJ7	AF-C0LGF5-F1-model_v3	AF-K7VAJ7-F1-model_v3	2.4e-186	571.2	0.00e+00	2832.41	0.000E+00	6351	platinum
