Uniprot_arabadopsis	Uniprot_rice	AlphaFold_arabadopsis	AlphaFold_rice	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A1P8BB81	A0A0P0X1T5	AF-A0A1P8BB81-F1-model_v3	AF-A0A0P0X1T5-F1-model_v3	5.5e-86	275.4	4.58e-13	1003.13	2.165E-43	1933	platinum
A0A1P8BBA5	Q6Z8Y2	AF-A0A1P8BBA5-F1-model_v3	AF-Q6Z8Y2-F1-model_v3	3.9e-304	872.8	0.00e+00	2327.09	0.000E+00	5117	platinum
A0A1P8BBF5	Q7XM18	AF-A0A1P8BBF5-F1-model_v3	AF-Q7XM18-F1-model_v3	1.7e-91	268.9	0.00e+00	548.18	5.435E-29	1151	platinum
A0A1P8BC04	Q75GJ4	AF-A0A1P8BC04-F1-model_v3	AF-Q75GJ4-F1-model_v3	5.6e-63	198.0	4.22e-06	421.41	NA	NA	gold
A0A1P8BCC3	Q6AUK4	AF-A0A1P8BCC3-F1-model_v3	AF-Q6AUK4-F1-model_v3	9.4e-14	60.1	4.00e-03	113.23	NA	NA	gold
A0A1P8BCR2	Q8H8S2	AF-A0A1P8BCR2-F1-model_v3	AF-Q8H8S2-F1-model_v3	5.3e-95	278.9	0.00e+00	649.68	3.270E-31	1329	platinum
A0A1P8BD18	Q8L4B1	AF-A0A1P8BD18-F1-model_v3	AF-Q8L4B1-F1-model_v3	8.4e-118	350.9	5.31e-13	1002.69	2.100E-33	1358	platinum
A0A1P8BD81	A0A0P0Y2T7	AF-A0A1P8BD81-F1-model_v3	AF-A0A0P0Y2T7-F1-model_v3	7.1e-130	399.4	3.25e-11	855.59	2.066E-22	1475	platinum
A0A1P8BDE8	Q6F4F5	AF-A0A1P8BDE8-F1-model_v3	AF-Q6F4F5-F1-model_v3	2.3e-144	419.9	NA	NA	NA	NA	silver
A0A1P8BDH2	Q5N9F8	AF-A0A1P8BDH2-F1-model_v3	AF-Q5N9F8-F1-model_v3	8.5e-223	621.7	0.00e+00	1252.80	8.399E-71	3120	platinum
A0A1P8BDL4	Q2R2T0	AF-A0A1P8BDL4-F1-model_v3	AF-Q2R2T0-F1-model_v3	3.8e-83	246.9	0.00e+00	572.06	2.414E-34	1312	platinum
A0A1P8BDM5	Q6Z2V7	AF-A0A1P8BDM5-F1-model_v3	AF-Q6Z2V7-F1-model_v3	1.8e-22	88.2	2.52e-03	213.92	1.653E-06	269	platinum
A0A1P8BDU6	Q0D4Q8	AF-A0A1P8BDU6-F1-model_v3	AF-Q0D4Q8-F1-model_v3	1.1e-81	251.5	0.00e+00	789.40	3.478E-40	1610	platinum
A0A1P8BDW0	Q6Z899	AF-A0A1P8BDW0-F1-model_v3	AF-Q6Z899-F1-model_v3	3.2e-56	172.6	1.91e-08	293.80	8.199E-13	634	platinum
A0A1P8BDX3	B7F963	AF-A0A1P8BDX3-F1-model_v3	AF-B7F963-F1-model_v3	2.0e-190	559.3	3.66e-10	1548.03	NA	NA	gold
A0A1P8BE87	Q10B95	AF-A0A1P8BE87-F1-model_v3	AF-Q10B95-F1-model_v3	1.0e-95	281.6	2.22e-16	571.62	2.285E-35	1377	platinum
A0A1P8BEG6	Q67W14	AF-A0A1P8BEG6-F1-model_v3	AF-Q67W14-F1-model_v3	6.2e-89	258.1	8.88e-16	407.02	1.744E-26	991	platinum
A0A1P8BEU1	Q6ATY3	AF-A0A1P8BEU1-F1-model_v3	AF-Q6ATY3-F1-model_v3	5.9e-84	251.9	1.78e-09	515.98	5.345E-27	1178	platinum
A0A1P8BEX4	Q0J2G1	AF-A0A1P8BEX4-F1-model_v3	AF-Q0J2G1-F1-model_v3	1.3e-119	350.5	0.00e+00	957.91	9.693E-44	1885	platinum
A0A1P8BF18	Q10ND1	AF-A0A1P8BF18-F1-model_v3	AF-Q10ND1-F1-model_v3	5.2e-128	366.7	0.00e+00	703.00	5.036E-40	1604	platinum
A0A1P8BGD5	Q0D6Q9	AF-A0A1P8BGD5-F1-model_v3	AF-Q0D6Q9-F1-model_v3	7.0e-153	446.0	1.54e-14	1055.37	4.969E-57	2278	platinum
A0A1P8BGF0	Q6YWS5	AF-A0A1P8BGF0-F1-model_v3	AF-Q6YWS5-F1-model_v3	1.7e-52	176.8	1.31e-05	612.60	NA	NA	gold
A0A1P8BGI7	Q7XHZ2	AF-A0A1P8BGI7-F1-model_v3	AF-Q7XHZ2-F1-model_v3	4.9e-284	785.8	0.00e+00	1503.07	3.295E-81	3785	platinum
A0A1P8BGR8	A0A0P0W5J3	AF-A0A1P8BGR8-F1-model_v3	AF-A0A0P0W5J3-F1-model_v3	4.9e-07	46.2	4.71e-01	82.82	NA	NA	gold
A0A1R7T3K1	Q5JLQ4	AF-A0A1R7T3K1-F1-model_v3	AF-Q5JLQ4-F1-model_v3	3.3e-09	52.8	4.15e-02	142.80	NA	NA	gold
A0A219HZL6	Q6YZK5	AF-A0A219HZL6-F1-model_v3	AF-Q6YZK5-F1-model_v3	1.7e-102	305.8	1.29e-11	654.10	1.122E-29	1193	platinum
A0A2P2CLC5	Q8HCR3	AF-A0A2P2CLC5-F1-model_v3	AF-Q8HCR3-F1-model_v3	0.0e+00	1256.1	0.00e+00	1990.14	3.159E-87	5056	platinum
A0A2P2CLF2	Q8HCM3	AF-A0A2P2CLF2-F1-model_v3	AF-Q8HCM3-F1-model_v3	4.6e-131	366.7	0.00e+00	593.64	9.896E-23	1194	platinum
A0A2P2CLF6	Q35322	AF-A0A2P2CLF6-F1-model_v3	AF-Q35322-F1-model_v3	5.6e-140	387.9	0.00e+00	551.80	6.139E-40	1539	platinum
A0A2P2CLG5	Q8HCQ4	AF-A0A2P2CLG5-F1-model_v3	AF-Q8HCQ4-F1-model_v3	2.8e-159	443.7	0.00e+00	771.74	5.556E-31	1519	platinum
A0A2P2CLG9	Q8HCQ6	AF-A0A2P2CLG9-F1-model_v3	AF-Q8HCQ6-F1-model_v3	3.5e-156	433.7	0.00e+00	695.56	6.896E-30	1596	platinum
A0A2P2CLH3	Q8HCN2	AF-A0A2P2CLH3-F1-model_v3	AF-Q8HCN2-F1-model_v3	0.0e+00	1078.9	7.78e-11	1284.18	3.043E-80	3348	platinum
A0A2P2CLH7	Q8HCN5	AF-A0A2P2CLH7-F1-model_v3	AF-Q8HCN5-F1-model_v3	9.8e-57	170.2	0.00e+00	287.97	8.272E-14	571	platinum
A0JPW4	Q10MZ9	AF-A0JPW4-F1-model_v3	AF-Q10MZ9-F1-model_v3	2.4e-52	161.4	5.20e-05	226.73	5.803E-10	373	platinum
A0JPW5	B9FFZ3	AF-A0JPW5-F1-model_v3	AF-B9FFZ3-F1-model_v3	5.8e-06	43.9	NA	NA	NA	NA	silver
A0JQ11	Q0E4G5	AF-A0JQ11-F1-model_v3	AF-Q0E4G5-F1-model_v3	9.7e-68	204.9	0.00e+00	406.21	1.576E-20	864	platinum
A0JQ12	Q7XNV4	AF-A0JQ12-F1-model_v3	AF-Q7XNV4-F1-model_v3	1.0e-63	197.6	0.00e+00	511.73	3.201E-21	931	platinum
A0JQ16	A0A0P0VGP5	AF-A0JQ16-F1-model_v3	AF-A0A0P0VGP5-F1-model_v3	2.9e-132	372.1	0.00e+00	676.57	1.902E-29	1494	platinum
A0JQ78	B9G1Z7	AF-A0JQ78-F1-model_v3	AF-B9G1Z7-F1-model_v3	3.2e-63	195.3	7.72e-10	451.11	7.800E-22	822	platinum
A0MES8	C7J2Z1	AF-A0MES8-F1-model_v3	AF-C7J2Z1-F1-model_v3	1.6e-33	124.4	3.81e-04	420.76	NA	NA	gold
A0MFS5	Q65XL5	AF-A0MFS5-F1-model_v3	AF-Q65XL5-F1-model_v3	7.4e-191	543.5	3.00e-15	1172.53	1.319E-53	2406	platinum
A0MFS9	Q0JJZ6	AF-A0MFS9-F1-model_v3	AF-Q0JJZ6-F1-model_v3	2.6e-263	739.2	0.00e+00	1762.90	3.414E-67	3378	platinum
A1A6H3	Q5SN59	AF-A1A6H3-F1-model_v3	AF-Q5SN59-F1-model_v3	1.9e-147	421.8	0.00e+00	961.05	1.142E-54	2230	platinum
A1A6I1	B9G519	AF-A1A6I1-F1-model_v3	AF-B9G519-F1-model_v3	8.0e-38	129.4	3.14e-08	357.15	2.563E-14	592	platinum
A1A6I8	Q8H0A8	AF-A1A6I8-F1-model_v3	AF-Q8H0A8-F1-model_v3	5.4e-110	319.3	NA	NA	NA	NA	silver
A1A6M1	Q7XSJ9	AF-A1A6M1-F1-model_v3	AF-Q7XSJ9-F1-model_v3	6.7e-72	229.2	3.09e-07	697.69	3.201E-32	1238	platinum
A1L4V7	B9EYZ1	AF-A1L4V7-F1-model_v3	AF-B9EYZ1-F1-model_v3	1.3e-124	367.1	0.00e+00	990.27	4.924E-50	2076	platinum
A1L4X0	Q2QQ06	AF-A1L4X0-F1-model_v3	AF-Q2QQ06-F1-model_v3	9.0e-141	406.0	NA	NA	8.532E-31	1799	gold
A1L4Y1	Q0DXL7	AF-A1L4Y1-F1-model_v3	AF-Q0DXL7-F1-model_v3	2.9e-156	441.4	NA	NA	4.523E-31	1276	gold
A1L4Y4	A0A0P0VRW1	AF-A1L4Y4-F1-model_v3	AF-A0A0P0VRW1-F1-model_v3	1.4e-170	480.7	0.00e+00	1001.37	3.562E-61	2366	platinum
A2RVJ8	Q7XQZ5	AF-A2RVJ8-F1-model_v3	AF-Q7XQZ5-F1-model_v3	2.9e-107	320.9	0.00e+00	897.83	5.913E-44	1712	platinum
A2RVK7	Q75LC8	AF-A2RVK7-F1-model_v3	AF-Q75LC8-F1-model_v3	1.3e-116	334.3	0.00e+00	651.81	3.127E-40	1585	platinum
A2RVM4	Q7XUG9	AF-A2RVM4-F1-model_v3	AF-Q7XUG9-F1-model_v3	1.7e-135	387.1	0.00e+00	761.24	4.450E-46	1820	platinum
A2RVM8	Q9AWU8	AF-A2RVM8-F1-model_v3	AF-Q9AWU8-F1-model_v3	3.2e-29	116.7	NA	NA	1.530E-15	611	gold
A2RVN2	A0A0P0V8V0	AF-A2RVN2-F1-model_v3	AF-A0A0P0V8V0-F1-model_v3	1.4e-111	332.0	0.00e+00	880.01	8.876E-53	2250	platinum
A2RVP7	Q10MT3	AF-A2RVP7-F1-model_v3	AF-Q10MT3-F1-model_v3	7.0e-81	236.9	0.00e+00	444.15	7.263E-17	847	platinum
A2RVT9	Q0DWG8	AF-A2RVT9-F1-model_v3	AF-Q0DWG8-F1-model_v3	2.1e-84	247.7	0.00e+00	509.50	5.953E-30	1352	platinum
A2RVU4	Q10QM7	AF-A2RVU4-F1-model_v3	AF-Q10QM7-F1-model_v3	1.4e-10	58.9	7.19e-03	281.76	NA	NA	gold
A2RVV7	Q6K2P4	AF-A2RVV7-F1-model_v3	AF-Q6K2P4-F1-model_v3	9.1e-143	409.8	NA	NA	1.146E-51	2064	gold
A2RVW1	Q0J8Q7	AF-A2RVW1-F1-model_v3	AF-Q0J8Q7-F1-model_v3	2.8e-91	275.4	1.80e-12	676.46	1.230E-32	1462	platinum
A3EWL3	Q654Y6	AF-A3EWL3-F1-model_v3	AF-Q654Y6-F1-model_v3	1.9e-291	845.1	3.30e-07	2264.81	0.000E+00	4560	platinum
A3KPF3	Q6K975	AF-A3KPF3-F1-model_v3	AF-Q6K975-F1-model_v3	3.7e-232	648.7	0.00e+00	1398.56	2.520E-44	2663	platinum
A4FVN8	Q84MU4	AF-A4FVN8-F1-model_v3	AF-Q84MU4-F1-model_v3	5.2e-305	837.4	0.00e+00	1480.08	2.080E-87	3839	platinum
A4GSN8	Q6Z7R9	AF-A4GSN8-F1-model_v3	AF-Q6Z7R9-F1-model_v3	1.9e-107	353.6	6.81e-04	1328.94	1.747E-28	982	platinum
A4IJ41	Q2QYI3	AF-A4IJ41-F1-model_v3	AF-Q2QYI3-F1-model_v3	4.3e-134	397.1	9.69e-14	958.93	4.856E-51	2083	platinum
A5HEI1	A0A0P0X1V3	AF-A5HEI1-F1-model_v3	AF-A0A0P0X1V3-F1-model_v3	0.0e+00	949.9	0.00e+00	2268.34	1.057E-62	4200	platinum
A7WM73	Q65XA2	AF-A7WM73-F1-model_v3	AF-Q65XA2-F1-model_v3	2.5e-263	729.2	0.00e+00	1479.85	7.507E-87	3617	platinum
A7XDQ9	B9FYX6	AF-A7XDQ9-F1-model_v3	AF-B9FYX6-F1-model_v3	8.4e-283	788.5	0.00e+00	1569.88	7.677E-93	3875	platinum
A8MQD8	Q10L35	AF-A8MQD8-F1-model_v3	AF-Q10L35-F1-model_v3	1.7e-80	236.9	1.67e-08	385.17	6.073E-15	643	platinum
A8MQE3	Q0DEB5	AF-A8MQE3-F1-model_v3	AF-Q0DEB5-F1-model_v3	2.2e-154	441.4	0.00e+00	1004.16	8.183E-56	2373	platinum
A8MQG8	Q10PN9	AF-A8MQG8-F1-model_v3	AF-Q10PN9-F1-model_v3	1.3e-166	475.3	0.00e+00	998.15	6.723E-51	2232	platinum
A8MQN2	Q10KE5	AF-A8MQN2-F1-model_v3	AF-Q10KE5-F1-model_v3	3.1e-33	134.4	6.77e-03	667.26	NA	NA	gold
A8MQN4	Q84MV9	AF-A8MQN4-F1-model_v3	AF-Q84MV9-F1-model_v3	5.2e-186	531.9	0.00e+00	1273.03	3.556E-65	2714	platinum
A8MQS6	Q0J999	AF-A8MQS6-F1-model_v3	AF-Q0J999-F1-model_v3	1.7e-17	70.5	7.02e-06	154.15	NA	NA	gold
A8MR03	Q0JLM7	AF-A8MR03-F1-model_v3	AF-Q0JLM7-F1-model_v3	8.9e-109	320.5	1.62e-10	745.79	2.922E-31	1325	platinum
A8MR21	Q6AVN0	AF-A8MR21-F1-model_v3	AF-Q6AVN0-F1-model_v3	1.1e-171	493.8	0.00e+00	1065.10	4.368E-62	2505	platinum
A8MR80	A0A0P0VUM9	AF-A8MR80-F1-model_v3	AF-A0A0P0VUM9-F1-model_v3	1.8e-20	78.6	8.97e-06	171.40	8.206E-05	234	platinum
A8MR93	Q7XMZ9	AF-A8MR93-F1-model_v3	AF-Q7XMZ9-F1-model_v3	1.4e-221	619.8	0.00e+00	1424.96	7.608E-57	3050	platinum
A8MR99	Q5N951	AF-A8MR99-F1-model_v3	AF-Q5N951-F1-model_v3	5.7e-285	807.0	0.00e+00	2040.64	5.240E-75	3863	platinum
A8MRC1	A0A0P0YCS6	AF-A8MRC1-F1-model_v3	AF-A0A0P0YCS6-F1-model_v3	6.5e-27	109.0	NA	NA	NA	NA	silver
A8MRC7	Q6F2F5	AF-A8MRC7-F1-model_v3	AF-Q6F2F5-F1-model_v3	2.2e-222	614.4	0.00e+00	1008.15	3.774E-64	2468	platinum
A8MRG8	B7ESM9	AF-A8MRG8-F1-model_v3	AF-B7ESM9-F1-model_v3	6.7e-27	100.9	2.68e-06	234.66	3.343E-10	454	platinum
A8MRK9	Q2QWI0	AF-A8MRK9-F1-model_v3	AF-Q2QWI0-F1-model_v3	2.5e-18	74.7	NA	NA	NA	NA	silver
A8MRY9	Q6K5Y4	AF-A8MRY9-F1-model_v3	AF-Q6K5Y4-F1-model_v3	5.2e-150	426.0	0.00e+00	950.30	2.112E-35	1917	platinum
A8MRZ2	A0A0P0WK68	AF-A8MRZ2-F1-model_v3	AF-A0A0P0WK68-F1-model_v3	1.8e-08	52.4	NA	NA	NA	NA	silver
A8MS41	Q6I5Y3	AF-A8MS41-F1-model_v3	AF-Q6I5Y3-F1-model_v3	1.9e-140	406.4	1.11e-15	896.90	1.111E-52	2123	platinum
A8MS68	Q94CN9	AF-A8MS68-F1-model_v3	AF-Q94CN9-F1-model_v3	1.4e-312	858.2	0.00e+00	1534.80	3.377E-99	3995	platinum
A8MS85	Q0DH32	AF-A8MS85-F1-model_v3	AF-Q0DH32-F1-model_v3	2.4e-91	300.4	2.53e-03	724.31	1.164E-21	1231	platinum
A8MSE3	Q60EM1	AF-A8MSE3-F1-model_v3	AF-Q60EM1-F1-model_v3	1.2e-96	285.0	NA	NA	3.204E-20	1098	gold
A8R7E6	A0A0P0XII1	AF-A8R7E6-F1-model_v3	AF-A0A0P0XII1-F1-model_v3	9.7e-208	594.3	0.00e+00	1482.33	1.922E-74	3160	platinum
A9LLI7	Q10RJ0	AF-A9LLI7-F1-model_v3	AF-Q10RJ0-F1-model_v3	8.5e-181	533.9	3.96e-10	1262.52	NA	NA	gold
A9LLI8	A0A0N7KNI7	AF-A9LLI8-F1-model_v3	AF-A0A0N7KNI7-F1-model_v3	0.0e+00	927.9	1.02e-13	2042.06	2.175E-90	4307	platinum
A9LNK9	Q0DA50	AF-A9LNK9-F1-model_v3	AF-Q0DA50-F1-model_v3	5.4e-176	515.4	9.05e-08	1296.52	3.919E-67	2586	platinum
A9QM73	Q0J6K0	AF-A9QM73-F1-model_v3	AF-Q0J6K0-F1-model_v3	1.5e-201	608.2	5.53e-07	1804.31	3.137E-47	2937	platinum
B0F481	Q6ZKV8	AF-B0F481-F1-model_v3	AF-Q6ZKV8-F1-model_v3	0.0e+00	943.7	0.00e+00	2163.12	0.000E+00	4899	platinum
B0F9L4	Q2QP84	AF-B0F9L4-F1-model_v3	AF-Q2QP84-F1-model_v3	0.0e+00	956.4	0.00e+00	2336.56	3.083E-65	4090	platinum
B0F9L7	A0A0P0WFQ5	AF-B0F9L7-F1-model_v3	AF-A0A0P0WFQ5-F1-model_v3	2.8e-82	269.2	NA	NA	NA	NA	silver
B0M1H3	Q5N829	AF-B0M1H3-F1-model_v3	AF-Q5N829-F1-model_v3	2.4e-209	622.1	0.00e+00	2281.55	1.913E-52	3411	platinum
B3DNN5	A0A0P0VV58	AF-B3DNN5-F1-model_v3	AF-A0A0P0VV58-F1-model_v3	4.2e-279	770.8	0.00e+00	1497.86	2.416E-54	3089	platinum
B3DNP3	A0A0P0VC63	AF-B3DNP3-F1-model_v3	AF-A0A0P0VC63-F1-model_v3	4.7e-141	409.1	8.22e-15	782.03	4.810E-45	1824	platinum
B3H4G1	A0A0P0VMN6	AF-B3H4G1-F1-model_v3	AF-A0A0P0VMN6-F1-model_v3	1.0e-26	100.9	NA	NA	NA	NA	silver
B3H4H0	Q0DCG4	AF-B3H4H0-F1-model_v3	AF-Q0DCG4-F1-model_v3	5.8e-12	56.6	1.33e-02	104.58	NA	NA	gold
B3H4I1	Q6Z6R6	AF-B3H4I1-F1-model_v3	AF-Q6Z6R6-F1-model_v3	4.7e-235	672.2	2.04e-08	1642.81	9.855E-76	3282	platinum
B3H4L6	Q6I5H6	AF-B3H4L6-F1-model_v3	AF-Q6I5H6-F1-model_v3	8.0e-09	47.4	1.72e-06	155.32	NA	NA	gold
B3H4P0	Q5VMK2	AF-B3H4P0-F1-model_v3	AF-Q5VMK2-F1-model_v3	3.0e-61	196.4	6.33e-10	603.38	6.393E-31	1160	platinum
B3H4P1	Q5VQG1	AF-B3H4P1-F1-model_v3	AF-Q5VQG1-F1-model_v3	1.2e-140	424.5	0.00e+00	1508.10	1.486E-35	2334	platinum
B3H4T5	Q5TKN9	AF-B3H4T5-F1-model_v3	AF-Q5TKN9-F1-model_v3	1.1e-04	37.7	1.10e-01	87.79	NA	NA	gold
B3H4Y3	A0A0P0WCD5	AF-B3H4Y3-F1-model_v3	AF-A0A0P0WCD5-F1-model_v3	1.3e-07	51.6	2.23e-05	421.14	NA	NA	gold
B3H5K3	Q5VMT5	AF-B3H5K3-F1-model_v3	AF-Q5VMT5-F1-model_v3	0.0e+00	1317.8	0.00e+00	3642.71	NA	NA	gold
B3H5K9	Q6H4U2	AF-B3H5K9-F1-model_v3	AF-Q6H4U2-F1-model_v3	2.6e-242	694.5	2.75e-08	1640.53	3.490E-73	3165	platinum
B3H5S3	A0A0N7KHP9	AF-B3H5S3-F1-model_v3	AF-A0A0N7KHP9-F1-model_v3	2.0e-17	73.2	4.61e-02	114.62	NA	NA	gold
B3H5W4	Q84QR4	AF-B3H5W4-F1-model_v3	AF-Q84QR4-F1-model_v3	2.6e-58	186.8	0.00e+00	563.90	4.759E-28	1162	platinum
B3H615	Q10CW4	AF-B3H615-F1-model_v3	AF-Q10CW4-F1-model_v3	8.1e-125	355.1	2.30e-12	586.30	1.570E-27	1130	platinum
B3H672	A0A0P0X5X6	AF-B3H672-F1-model_v3	AF-A0A0P0X5X6-F1-model_v3	7.3e-85	278.1	NA	NA	NA	NA	silver
B3H686	Q0J0D5	AF-B3H686-F1-model_v3	AF-Q0J0D5-F1-model_v3	1.0e-28	107.5	1.30e-06	317.48	4.602E-10	460	platinum
B3H6G9	Q6YSY5	AF-B3H6G9-F1-model_v3	AF-Q6YSY5-F1-model_v3	9.3e-76	236.9	2.07e-12	746.74	7.717E-33	1310	platinum
B3H6K1	Q10KM5	AF-B3H6K1-F1-model_v3	AF-Q10KM5-F1-model_v3	7.0e-142	413.3	0.00e+00	1142.52	9.028E-34	1949	platinum
B3H6L5	Q6AUP5	AF-B3H6L5-F1-model_v3	AF-Q6AUP5-F1-model_v3	2.8e-142	426.4	1.48e-13	1357.67	NA	NA	gold
B3H797	Q10SS2	AF-B3H797-F1-model_v3	AF-Q10SS2-F1-model_v3	2.7e-251	708.8	0.00e+00	1435.17	6.037E-57	3044	platinum
B3H7G2	Q0D6M1	AF-B3H7G2-F1-model_v3	AF-Q0D6M1-F1-model_v3	3.1e-46	143.7	0.00e+00	275.45	1.478E-17	668	platinum
B3H7H1	A0A0P0XUJ0	AF-B3H7H1-F1-model_v3	AF-A0A0P0XUJ0-F1-model_v3	4.7e-113	334.3	0.00e+00	770.26	8.257E-30	1455	platinum
B3LF83	Q6Z8Z7	AF-B3LF83-F1-model_v3	AF-Q6Z8Z7-F1-model_v3	5.1e-140	407.5	NA	NA	1.869E-39	2099	gold
B3LFC6	Q5JLN0	AF-B3LFC6-F1-model_v3	AF-Q5JLN0-F1-model_v3	5.1e-133	388.3	2.22e-15	919.59	4.687E-50	1879	platinum
B4F7N8	Q0ITL9	AF-B4F7N8-F1-model_v3	AF-Q0ITL9-F1-model_v3	2.4e-142	414.5	0.00e+00	1004.24	1.729E-31	1835	platinum
B4F7Q0	Q6Z8I6	AF-B4F7Q0-F1-model_v3	AF-Q6Z8I6-F1-model_v3	2.4e-27	109.0	NA	NA	NA	NA	silver
B5BT18	Q0E3P7	AF-B5BT18-F1-model_v3	AF-Q0E3P7-F1-model_v3	1.1e-171	533.9	NA	NA	8.378E-35	2175	gold
B5X0I6	Q8H9E4	AF-B5X0I6-F1-model_v3	AF-Q8H9E4-F1-model_v3	0.0e+00	1154.4	0.00e+00	2835.76	2.837E-89	5226	platinum
B5X4Z9	Q10PA1	AF-B5X4Z9-F1-model_v3	AF-Q10PA1-F1-model_v3	6.3e-147	439.9	3.55e-15	1393.81	NA	NA	gold
B5X503	Q10MP8	AF-B5X503-F1-model_v3	AF-Q10MP8-F1-model_v3	1.1e-160	474.6	1.12e-13	1338.03	2.103E-66	2872	platinum
B5X565	A0A0N7KT94	AF-B5X565-F1-model_v3	AF-A0A0N7KT94-F1-model_v3	3.3e-158	458.0	0.00e+00	865.03	5.706E-49	2018	platinum
B5X582	Q0DA77	AF-B5X582-F1-model_v3	AF-Q0DA77-F1-model_v3	1.4e-112	339.0	0.00e+00	597.24	1.050E-29	1268	platinum
B6ETT7	Q0DW69	AF-B6ETT7-F1-model_v3	AF-Q0DW69-F1-model_v3	1.3e-206	589.3	0.00e+00	1169.11	4.999E-67	2878	platinum
B6EUA9	A0A0P0V3J7	AF-B6EUA9-F1-model_v3	AF-A0A0P0V3J7-F1-model_v3	1.3e-119	373.2	NA	NA	NA	NA	silver
B6IDH3	Q5ZEN6	AF-B6IDH3-F1-model_v3	AF-Q5ZEN6-F1-model_v3	4.2e-128	375.9	NA	NA	1.474E-25	1473	gold
B6IDH4	Q65XS5	AF-B6IDH4-F1-model_v3	AF-Q65XS5-F1-model_v3	2.1e-175	493.8	0.00e+00	861.16	8.340E-56	2166	platinum
B6IDH6	Q53WK2	AF-B6IDH6-F1-model_v3	AF-Q53WK2-F1-model_v3	6.4e-50	162.2	NA	NA	NA	NA	silver
B7SY83	Q53P84	AF-B7SY83-F1-model_v3	AF-Q53P84-F1-model_v3	2.7e-54	208.0	1.39e-02	1284.91	1.445E-39	1610	platinum
B7ZWR6	Q7XIM1	AF-B7ZWR6-F1-model_v3	AF-Q7XIM1-F1-model_v3	9.2e-125	377.1	5.00e-10	1158.87	2.728E-35	1903	platinum
B8XCH5	Q8S1F8	AF-B8XCH5-F1-model_v3	AF-Q8S1F8-F1-model_v3	0.0e+00	1181.8	0.00e+00	2506.96	0.000E+00	6147	platinum
B9DF92	Q6K962	AF-B9DF92-F1-model_v3	AF-Q6K962-F1-model_v3	1.6e-75	241.5	1.70e-02	490.51	NA	NA	gold
B9DFI7	Q6EQ17	AF-B9DFI7-F1-model_v3	AF-Q6EQ17-F1-model_v3	0.0e+00	972.2	0.00e+00	1695.96	0.000E+00	4331	platinum
B9DFX7	A0A0P0VTT2	AF-B9DFX7-F1-model_v3	AF-A0A0P0VTT2-F1-model_v3	0.0e+00	1051.6	0.00e+00	2412.83	1.141E-101	5305	platinum
B9DFZ2	Q84TX8	AF-B9DFZ2-F1-model_v3	AF-Q84TX8-F1-model_v3	2.1e-147	432.6	1.28e-06	1057.80	9.533E-48	1911	platinum
B9DG24	Q5W6Q8	AF-B9DG24-F1-model_v3	AF-Q5W6Q8-F1-model_v3	8.0e-71	215.3	9.99e-16	382.77	1.070E-23	938	platinum
B9DG41	Q6ZJC5	AF-B9DG41-F1-model_v3	AF-Q6ZJC5-F1-model_v3	1.0e-88	262.7	0.00e+00	595.39	1.674E-33	1358	platinum
B9DG54	A0A0P0X1A9	AF-B9DG54-F1-model_v3	AF-A0A0P0X1A9-F1-model_v3	1.1e-31	111.3	2.41e-08	323.39	3.323E-13	504	platinum
B9DGC0	Q5QMP6	AF-B9DGC0-F1-model_v3	AF-Q5QMP6-F1-model_v3	8.6e-189	528.9	0.00e+00	1035.77	6.057E-56	2412	platinum
B9DGT7	Q75GI3	AF-B9DGT7-F1-model_v3	AF-Q75GI3-F1-model_v3	0.0e+00	865.9	NA	NA	NA	NA	silver
B9DGY1	Q6K2A4	AF-B9DGY1-F1-model_v3	AF-Q6K2A4-F1-model_v3	0.0e+00	968.8	0.00e+00	1777.04	7.172E-79	3896	platinum
B9DHA4	A0A0P0W347	AF-B9DHA4-F1-model_v3	AF-A0A0P0W347-F1-model_v3	1.5e-110	325.1	0.00e+00	739.02	2.441E-38	1611	platinum
B9DHA5	Q8S7W6	AF-B9DHA5-F1-model_v3	AF-Q8S7W6-F1-model_v3	3.8e-157	449.9	0.00e+00	1046.03	2.740E-63	2534	platinum
B9DHC9	Q109Y3	AF-B9DHC9-F1-model_v3	AF-Q109Y3-F1-model_v3	6.8e-97	306.2	8.80e-06	924.18	NA	NA	gold
B9DHD7	Q5JMK3	AF-B9DHD7-F1-model_v3	AF-Q5JMK3-F1-model_v3	5.4e-49	169.9	6.65e-09	847.31	1.748E-27	1183	platinum
B9DHG0	Q337M8	AF-B9DHG0-F1-model_v3	AF-Q337M8-F1-model_v3	8.4e-88	267.3	3.31e-06	615.21	1.367E-22	1090	platinum
B9DHT4	A0A0P0WM47	AF-B9DHT4-F1-model_v3	AF-A0A0P0WM47-F1-model_v3	2.0e-112	338.6	NA	NA	3.671E-21	1333	gold
C0LGD7	Q5JN27	AF-C0LGD7-F1-model_v3	AF-Q5JN27-F1-model_v3	1.6e-267	771.9	0.00e+00	2496.16	0.000E+00	5798	platinum
C0LGF5	Q69X93	AF-C0LGF5-F1-model_v3	AF-Q69X93-F1-model_v3	8.2e-196	595.5	0.00e+00	2855.26	0.000E+00	6201	platinum
